currency,estruct,ecase,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FAM,A1_125,HU	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,IE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,IS	: n	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,IT	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,JP	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,LT	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,LU	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,LV	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,MT	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,NL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,NO	: n	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,PL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,PT	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,RO	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,SE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,SI	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,SK	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,TR	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,UK	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_125,US	: n	: n	: n	: n	: n	: 	407.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,AT	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,BE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,BG	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,CH	: n	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,CZ	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,DE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,DK	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EA17	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EA18	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EA19	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EE	: n	: n	: n	: n	: n	: 	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,ES	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EU15	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EU25	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EU27	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,EU28	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,FI	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,FR	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,HR	: 	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,HU	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,IE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,IS	: n	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,IT	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,JP	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,LT	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,LU	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,LV	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,MT	: 	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,NL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,NO	: n	: n	: n	: n	: n	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,PL	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,PT	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,RO	: 	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,SE	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,SI	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,SK	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,TR	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,UK	: n	: n	: n	: n	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_167,US	: n	: n	: n	: n	: n	: 	407.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,AT	4964.00 	4896.80 	4896.80 	4896.80 	4971.40 	4971.40 	4516.80 	4516.80 	4516.80 	4516.80 	4516.80 	4516.80 	4341.60 	4338.57 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,BE	3773.04 	3773.04 	3719.36 	3623.30 	3527.25 	3610.89 	3542.67 	3282.12 	3133.29 	3082.24 	2996.64 	2937.96 	2933.19 	2857.10 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,BG	: 	1165.76 	429.49 	429.49 	429.49 	429.49 	306.78 	233.15 	233.15 	220.88 	221.16 	184.71 	164.68 	105.74 	105.52 	105.33 	104.46 	85.93 	73.24 	: 
EUR,FAM,A1_2CH_67,CH	4939.90 	4873.69 	4978.01 	4867.76 	4346.88 	3973.51 	4261.69 	3231.27 	3335.24 	3388.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,CY	: 	: 	: 	: 	: 	: 	: 	686.54 	694.71 	693.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
